Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
4031,Blouse,190,01/14/2023,3,Cash
4056,Sneakers,,11/02/2022,,Credit Card
4114,Leggings,84,06/15/2023,3.8,Cash
4104,Backpack,69,05/27/2023,2.1,Cash
4071,Tunic,107,12/03/2022,1.5,Cash
4007,Dress,172,04/05/2023,1.9,Cash
4009,Flannel Shirt,51,04/16/2023,1.8,Cash
4038,Tie,63,02/13/2023,4.3,Cash
4033,Backpack,189,08/31/2023,4.9,Cash
4102,Cardigan,175,06/05/2023,3.6,Credit Card
4034,Tunic,,07/01/2023,1.5,Credit Card
4068,Jeans,146,08/26/2023,1.1,Cash
4045,Gloves,51,01/27/2023,2.5,Credit Card
3979,Camisole,79,06/05/2023,1.3,Cash
4106,Trousers,173,09/07/2023,3.4,Credit Card
3959,Trousers,66,11/02/2022,4.5,Cash
4113,Boots,24,01/20/2023,1.2,Credit Card
4087,Scarf,18,11/21/2022,1.7,Credit Card
4060,Polo Shirt,112,06/08/2023,1.2,Cash
3989,Sweater,64,03/13/2023,3.2,Credit Card
4032,Wallet,155,03/08/2023,1.1,Credit Card
3972,Boots,90,01/26/2023,4.6,Credit Card
4051,Umbrella,137,06/30/2023,4.6,Cash
4097,Tank Top,174,10/10/2022,3.4,Cash
3970,Camisole,77,01/05/2023,2.4,Cash
3957,Gloves,,05/16/2023,2.7,Cash
4100,Loafers,147,03/02/2023,3.9,Credit Card
4048,Pajamas,159,11/08/2022,1.2,Credit Card
3985,Flannel Shirt,159,03/05/2023,2.6,Cash
4029,Leggings,66,06/16/2023,3.7,Cash
3964,Hat,45,03/17/2023,4.8,Cash
4017,Bowtie,33,09/28/2023,3.3,Credit Card
4067,Handbag,38,05/25/2023,3.1,Cash
4108,T-shirt,,09/10/2023,2.5,Credit Card
4057,Jacket,,01/02/2023,4.7,Cash
4117,Kimono,162,04/16/2023,1.1,Cash
4038,Jacket,,10/27/2022,4.8,Credit Card
4054,Socks,129,12/23/2022,,Cash
4060,Sweater,151,07/17/2023,3.2,Cash
4054,Handbag,12,12/29/2022,2.6,Credit Card
4068,Pants,39,03/21/2023,2.4,Credit Card
4096,Scarf,147,02/11/2023,4.1,Credit Card
4011,Blouse,174,04/21/2023,3.4,Cash
4001,Hoodie,85,09/17/2023,3.3,Cash
4078,Hat,126,06/29/2023,2.1,Credit Card
3992,Slippers,,04/26/2023,2.9,Cash
4005,Sun Hat,194,12/16/2022,2.9,Credit Card
4099,Scarf,138,05/20/2023,2.9,Credit Card
4055,Boots,139,01/05/2023,1.9,Credit Card
4049,Trench Coat,170,07/13/2023,,Cash
4063,Hoodie,173,06/23/2023,2.1,Credit Card
3996,Belt,60,03/04/2023,2.3,Credit Card
4030,Camisole,,10/25/2022,,Credit Card
3989,Overalls,148,05/19/2023,4.1,Credit Card
3991,Blazer,145,05/03/2023,4.5,Credit Card
3959,Coat,163,05/09/2023,3.5,Credit Card
3975,Camisole,14,02/07/2023,3.5,Cash
4122,Socks,,12/10/2022,,Credit Card
3961,Boots,88,10/07/2022,1.2,Cash
3993,Belt,71,05/18/2023,4.4,Credit Card
4081,Hat,30,09/01/2023,1.2,Credit Card
4068,Loafers,,04/13/2023,1.2,Credit Card
3991,Boots,27,09/16/2023,2,Credit Card
3978,Blazer,146,01/15/2023,3.7,Credit Card
3992,Cardigan,42,12/14/2022,2.4,Credit Card
4121,Sunglasses,150,06/03/2023,3.4,Credit Card
4063,Bowtie,,11/05/2022,1.3,Credit Card
4073,Handbag,165,09/28/2023,3,Credit Card
4111,Socks,64,01/15/2023,2.3,Credit Card
4065,Sneakers,196,03/24/2023,4.3,Credit Card
4116,Onesie,192,01/16/2023,3.6,Credit Card
4003,Hoodie,181,07/09/2023,1.6,Credit Card
4073,Swimsuit,122,04/25/2023,4.2,Credit Card
4087,Vest,125,06/02/2023,2.6,Credit Card
4065,Pajamas,,05/03/2023,2.9,Credit Card
4098,Coat,96,09/21/2023,3.5,Credit Card
4072,Onesie,,12/11/2022,1.2,Cash
4055,Bowtie,160,04/03/2023,4.6,Cash
4047,Belt,28,08/07/2023,,Cash
4014,Trench Coat,25,12/05/2022,4.2,Cash
4004,Flip-Flops,18,01/21/2023,4.1,Credit Card
4065,Poncho,28,06/29/2023,3.3,Credit Card
4111,Belt,81,05/10/2023,1.9,Credit Card
3958,Tunic,64,06/17/2023,1.1,Cash
4104,Pants,195,06/02/2023,2.5,Cash
4084,Onesie,156,08/08/2023,1.3,Credit Card
4017,Jeans,72,10/28/2022,,Credit Card
4085,Tunic,114,04/28/2023,1.9,Credit Card
4025,Pajamas,,09/10/2023,3.3,Cash
4062,Belt,,09/22/2023,2.7,Credit Card
4096,Hoodie,118,10/17/2022,4.4,Cash
4104,Tunic,196,02/13/2023,1.2,Cash
4050,Blazer,,06/23/2023,3.1,Credit Card
3965,Loafers,175,06/26/2023,2.1,Cash
3966,Polo Shirt,,04/21/2023,2.2,Credit Card
4102,Pants,96,07/31/2023,2,Credit Card
4080,Sun Hat,37,09/14/2023,2.4,Cash
4051,Camisole,58,01/29/2023,4,Cash
3985,Hat,45,12/31/2022,2,Credit Card
4105,Sandals,81,10/31/2022,4.5,Credit Card
4080,Pajamas,29,09/22/2023,2.4,Credit Card
3977,Overalls,150,03/22/2023,4.7,Cash
3993,Blazer,,04/09/2023,3.4,Cash
4091,Overalls,148,01/30/2023,2.7,Cash
4028,Cardigan,33,02/11/2023,4.3,Credit Card
4076,Pajamas,70,10/05/2022,3.2,Credit Card
4089,Sun Hat,,03/28/2023,2.6,Cash
3977,Loafers,64,10/15/2022,1.6,Cash
4090,Onesie,25,09/18/2023,2.1,Cash
4113,Jacket,,06/27/2023,1.3,Cash
3979,Trousers,,08/07/2023,4.9,Credit Card
4019,Blouse,126,12/15/2022,3.5,Credit Card
4077,Romper,188,06/01/2023,4.6,Credit Card
4118,Onesie,152,01/12/2023,1.1,Credit Card
3976,Socks,134,07/24/2023,2.1,Credit Card
4119,Pants,,05/04/2023,4.7,Cash
4095,Socks,24,11/13/2022,1.5,Cash
4105,T-shirt,148,03/18/2023,,Credit Card
4036,T-shirt,,08/03/2023,3.8,Credit Card
4113,Trench Coat,22,05/20/2023,1.5,Cash
3970,Camisole,138,05/09/2023,4.7,Cash
4044,Camisole,145,02/10/2023,2.4,Cash
4093,Swimsuit,,10/06/2022,3.2,Cash
3959,Kimono,30,03/11/2023,1.5,Cash
4077,Vest,27,01/08/2023,4.6,Credit Card
4073,Tie,182,09/16/2023,3.5,Cash
4088,Vest,113,09/02/2023,1.2,Credit Card
4077,Poncho,,03/15/2023,2.4,Credit Card
4103,Swimsuit,73,04/30/2023,2.6,Cash
4041,Pajamas,20,05/20/2023,4.3,Cash
4064,Kimono,117,10/31/2022,2.9,Cash
4047,Blazer,154,06/01/2023,1.7,Cash
4032,Backpack,76,06/15/2023,4.7,Cash
4031,Slippers,193,08/02/2023,1.3,Credit Card
3999,Jacket,77,05/27/2023,3.4,Credit Card
3966,Tie,181,06/14/2023,3.6,Credit Card
4109,Dress,127,09/30/2023,2.8,Cash
4034,Shorts,28,03/24/2023,3.4,Cash
4101,Pajamas,,03/27/2023,1.4,Cash
4023,Sunglasses,154,02/09/2023,2.4,Credit Card
3972,Coat,28,12/22/2022,4.6,Credit Card
4118,Socks,139,05/13/2023,4.4,Credit Card
4078,Tunic,99,11/10/2022,2.3,Cash
4105,Belt,72,07/29/2023,1.7,Credit Card
4000,Sandals,50,09/27/2023,4.3,Cash
4103,Jumpsuit,149,10/16/2022,5,Cash
3970,Tunic,166,02/02/2023,3.1,Credit Card
4031,Camisole,177,06/28/2023,3.5,Cash
4116,Raincoat,180,02/11/2023,,Cash
3963,Trench Coat,86,12/16/2022,1.5,Cash
4030,Romper,36,01/02/2023,2.8,Credit Card
4081,Kimono,44,06/03/2023,2.2,Credit Card
3978,Handbag,37,01/17/2023,5,Cash
3989,Tank Top,49,04/26/2023,4.7,Credit Card
4086,Swimsuit,164,12/07/2022,1.6,Cash
3976,Tank Top,97,05/23/2023,4.4,Cash
4028,Sweater,172,01/15/2023,1.1,Credit Card
4021,Backpack,139,01/02/2023,4.8,Cash
3990,Pajamas,23,11/01/2022,4.2,Credit Card
4114,Belt,,09/28/2023,,Cash
4028,Poncho,80,12/31/2022,1.1,Cash
4027,Boots,,12/30/2022,4.8,Credit Card
4022,Boots,43,08/27/2023,3.9,Cash
3960,Onesie,77,12/16/2022,4.3,Cash
3985,Dress,,06/05/2023,1.4,Credit Card
4111,Swimsuit,190,11/23/2022,4.4,Credit Card
4001,Handbag,12,11/25/2022,2.7,Cash
4108,Romper,,11/09/2022,4.5,Credit Card
3995,Umbrella,186,05/27/2023,3.9,Cash
4071,Jeans,149,04/09/2023,2.4,Cash
4051,Tank Top,,08/31/2023,,Credit Card
4001,Wallet,151,06/09/2023,3.9,Cash
4023,Backpack,,05/08/2023,3,Credit Card
4017,Pants,,08/08/2023,3.5,Cash
4081,Sandals,20,12/02/2022,4.1,Cash
4003,Loafers,63,06/10/2023,2.3,Credit Card
4092,Overalls,180,11/25/2022,2.7,Cash
3965,Umbrella,,05/06/2023,4.2,Cash
4044,Pants,114,12/25/2022,4.4,Credit Card
3978,Sandals,49,10/31/2022,4.5,Cash
3994,Boots,70,03/01/2023,,Cash
4109,Loafers,55,12/21/2022,1,Credit Card
3996,Slippers,16,08/13/2023,2.5,Credit Card
4083,Wallet,,07/07/2023,3.7,Credit Card
4062,Coat,115,04/10/2023,1.6,Credit Card
4055,T-shirt,198,11/29/2022,3.9,Credit Card
4017,Shorts,78,02/26/2023,1.8,Credit Card
4069,Jumpsuit,,02/16/2023,4.8,Cash
4120,Hoodie,107,07/11/2023,4,Cash
3999,Backpack,130,04/26/2023,,Cash
4010,Romper,127,07/24/2023,,Credit Card
4104,Pajamas,68,07/12/2023,1.8,Cash
4045,Vest,178,01/29/2023,2.7,Credit Card
3970,Romper,,10/18/2022,2.5,Cash
4121,Slippers,27,04/11/2023,3.6,Credit Card
4024,Hoodie,81,12/30/2022,3.6,Credit Card
3986,Flannel Shirt,140,11/24/2022,2.2,Cash
3970,Socks,147,05/07/2023,2.2,Credit Card
3999,Belt,17,07/25/2023,4.2,Credit Card
4075,Coat,,10/06/2022,2.4,Cash
4059,Belt,55,01/16/2023,1.4,Cash
4078,Sandals,77,07/28/2023,4.5,Cash
4034,Tank Top,,01/01/2023,2.1,Cash
4078,Blazer,98,01/05/2023,2.3,Credit Card
4093,Trench Coat,90,10/17/2022,1.5,Cash
4016,Polo Shirt,140,01/02/2023,2.3,Cash
4054,Wallet,,05/01/2023,3.8,Cash
4056,Pajamas,58,07/20/2023,4.1,Cash
4078,Slippers,191,07/10/2023,4.2,Credit Card
4024,Blazer,143,10/09/2022,2.6,Credit Card
3994,Camisole,147,11/19/2022,2.2,Cash
4092,Tie,199,02/15/2023,4.6,Cash
4068,Tunic,60,01/04/2023,1.2,Cash
3960,Camisole,27,09/14/2023,2,Credit Card
4030,Hoodie,94,04/23/2023,2.6,Credit Card
4071,Skirt,179,02/16/2023,2.6,Credit Card
4054,Handbag,194,06/12/2023,2.1,Credit Card
4037,Sunglasses,139,11/10/2022,2.4,Cash
4092,Jumpsuit,114,11/02/2022,2.2,Credit Card
3967,Raincoat,188,05/06/2023,3.3,Cash
3981,Pants,42,07/08/2023,1.8,Credit Card
4093,Sneakers,,10/14/2022,4.8,Cash
4120,Poncho,107,11/07/2022,2.3,Cash
4047,Scarf,54,05/20/2023,1.1,Credit Card
4067,Poncho,87,05/27/2023,4.2,Credit Card
4113,Vest,10,10/11/2022,,Credit Card
4026,Tank Top,63,01/20/2023,4.6,Cash
4042,Blazer,158,11/12/2022,3.2,Cash
4026,T-shirt,92,04/24/2023,3.1,Credit Card
4025,Coat,123,01/09/2023,1.8,Cash
3982,Kimono,140,05/18/2023,3.1,Credit Card
4022,T-shirt,198,10/22/2022,1.9,Cash
4106,Skirt,,03/26/2023,4.6,Cash
4057,Jacket,,09/17/2023,1.9,Cash
4075,Jumpsuit,172,10/07/2022,4.8,Credit Card
4018,Tank Top,33,10/18/2022,,Credit Card
4107,Tie,70,02/28/2023,,Cash
4006,Flannel Shirt,67,07/27/2023,1.4,Cash
4090,Tie,47,01/11/2023,2.9,Cash
4043,Backpack,,01/16/2023,2.2,Cash
4003,Cardigan,131,01/04/2023,4.1,Credit Card
4037,Camisole,28,05/01/2023,2.1,Cash
4097,Belt,171,05/24/2023,4.1,Cash
3959,Coat,193,01/03/2023,1.5,Credit Card
3959,Hat,136,02/08/2023,2.1,Credit Card
3974,Swimsuit,47,02/22/2023,,Credit Card
3960,Hat,11,04/12/2023,,Credit Card
4062,Romper,37,07/24/2023,4,Cash
3982,Blouse,66,01/24/2023,1.1,Cash
4091,Socks,,11/28/2022,3.4,Credit Card
3983,Kimono,142,05/15/2023,3.9,Credit Card
4071,Hat,152,12/22/2022,1.8,Credit Card
4046,Trench Coat,41,07/17/2023,2.2,Credit Card
4013,Shorts,128,02/21/2023,3,Cash
4029,Bowtie,153,05/17/2023,,Credit Card
4021,Sunglasses,123,05/11/2023,1.8,Cash
4006,Scarf,194,02/02/2023,3.6,Cash
3965,Hat,119,07/13/2023,2.2,Cash
3963,Socks,150,10/04/2022,,Credit Card
4115,Sweater,50,07/05/2023,3.2,Cash
3980,Poncho,131,01/23/2023,4.6,Credit Card
3971,Hat,73,07/17/2023,2,Credit Card
4109,Tunic,80,10/18/2022,,Credit Card
4012,Socks,143,04/23/2023,2.6,Cash
4110,Sandals,71,03/17/2023,3.2,Cash
4120,Tie,29,02/12/2023,1.9,Credit Card
3988,Bowtie,70,11/02/2022,2.6,Credit Card
3987,Handbag,91,12/21/2022,2.5,Cash
3979,Flip-Flops,30,03/30/2023,3.6,Cash
4111,Skirt,,08/13/2023,4.2,Credit Card
3990,Handbag,187,08/11/2023,1.4,Credit Card
4053,Coat,,07/10/2023,4.5,Credit Card
4122,Hoodie,116,03/17/2023,2,Cash
4101,Cardigan,148,11/26/2022,3.5,Credit Card
4004,Hoodie,25,09/24/2023,3.9,Credit Card
3985,Pajamas,117,08/07/2023,1.9,Cash
4004,Shorts,159,01/22/2023,2,Cash
4021,Sneakers,15,08/07/2023,2.4,Credit Card
4032,Jacket,157,01/25/2023,2.3,Credit Card
4076,Trousers,11,12/06/2022,2.6,Credit Card
3976,Jeans,86,05/26/2023,,Cash
4120,Slippers,117,09/25/2023,4,Credit Card
4073,Boots,198,12/21/2022,3.2,Cash
4027,Onesie,164,06/11/2023,3.6,Cash
4066,Kimono,134,01/02/2023,3.8,Credit Card
4039,Umbrella,121,07/05/2023,4.4,Cash
4022,Tunic,109,11/15/2022,1.3,Credit Card
3998,Skirt,183,12/22/2022,3.8,Credit Card
3975,T-shirt,195,07/22/2023,4,Cash
4027,Sweater,,12/01/2022,4,Credit Card
3972,Sneakers,42,04/18/2023,2.8,Credit Card
4054,Tunic,146,01/23/2023,1.2,Credit Card
4056,T-shirt,,03/29/2023,1.7,Cash
4042,Wallet,154,08/31/2023,2.9,Credit Card
3972,Slippers,31,10/26/2022,3.2,Credit Card
4023,Dress,44,03/03/2023,2.2,Cash
4024,Skirt,56,07/17/2023,2.2,Credit Card
4002,Scarf,,05/09/2023,3.7,Credit Card
4069,Flannel Shirt,64,11/01/2022,3.5,Cash
3974,T-shirt,96,12/05/2022,3.6,Credit Card
4082,Pajamas,107,05/10/2023,3.1,Cash
4008,Loafers,117,05/04/2023,3.5,Credit Card
4113,Flannel Shirt,30,05/21/2023,3.1,Credit Card
4057,Tunic,148,04/22/2023,2.9,Cash
4002,Sneakers,,08/28/2023,4.7,Credit Card
4122,Kimono,67,03/20/2023,4.4,Cash
4082,Onesie,176,12/28/2022,3.1,Credit Card
3984,Tunic,,05/22/2023,1,Credit Card
3993,Trousers,,12/26/2022,1.6,Credit Card
4095,Loafers,15,07/12/2023,,Credit Card
4067,Belt,71,08/27/2023,2.2,Credit Card
4012,Trousers,,03/06/2023,3.8,Cash
4114,Swimsuit,154,04/02/2023,2.3,Credit Card
4121,Umbrella,129,01/15/2023,,Cash
3984,Trousers,104,07/30/2023,1.6,Cash
4070,Leggings,,06/09/2023,3.2,Credit Card
4023,Boots,193,02/14/2023,3.5,Credit Card
3983,Swimsuit,,08/17/2023,2.1,Cash
3965,Wallet,89,08/18/2023,4.5,Cash
3975,Vest,,07/29/2023,2.2,Credit Card
3975,Pajamas,,04/11/2023,2.6,Cash
4103,Flip-Flops,183,10/13/2022,3.2,Cash
4021,Sweater,106,05/21/2023,1.3,Cash
4071,Raincoat,193,10/02/2022,3.9,Credit Card
3961,Trousers,,06/17/2023,2.1,Credit Card
4084,Skirt,170,07/08/2023,4.2,Cash
3995,T-shirt,188,05/12/2023,4.1,Cash
4120,Overalls,185,03/05/2023,4.1,Credit Card
3957,Tank Top,40,10/03/2022,2.1,Cash
3966,Vest,154,05/04/2023,4.5,Cash
4056,Camisole,98,06/12/2023,2.9,Credit Card
4025,Blouse,179,04/06/2023,4.1,Cash
3995,Jeans,139,05/01/2023,1.4,Cash
4041,Loafers,13,10/13/2022,1.6,Cash
4057,Shorts,135,12/27/2022,4.5,Credit Card
4104,Flannel Shirt,,10/24/2022,4.6,Cash
3957,Sneakers,172,07/08/2023,,Credit Card
4088,Tank Top,127,10/07/2022,2.8,Credit Card
4082,Tunic,121,09/07/2023,2.3,Cash
4079,Boots,,11/23/2022,1.5,Credit Card
4068,Swimsuit,176,07/18/2023,2.5,Cash
4060,Bowtie,147,12/28/2022,2.9,Credit Card
3974,Flip-Flops,129,08/02/2023,3.1,Credit Card
4095,Umbrella,197,10/25/2022,4.5,Credit Card
4014,Wallet,92,12/25/2022,4.8,Credit Card
3957,Onesie,32,01/05/2023,4.3,Cash
4055,Trench Coat,125,11/10/2022,4.4,Cash
4080,Tie,128,04/10/2023,3,Credit Card
3988,Wallet,181,03/04/2023,3.7,Credit Card
4102,Socks,17,01/31/2023,2.7,Cash
4094,T-shirt,93,08/15/2023,1.1,Cash
4048,Handbag,,10/18/2022,2.9,Credit Card
4042,Leggings,76,02/22/2023,3.9,Credit Card
4034,Jeans,162,02/11/2023,3.2,Credit Card
4059,Handbag,80,07/06/2023,4.8,Cash
3971,Swimsuit,142,07/22/2023,1.7,Cash
4118,Dress,31,10/19/2022,1,Credit Card
4122,Poncho,114,07/28/2023,3.1,Cash
3980,Leggings,71,01/25/2023,,Cash
4050,Umbrella,175,12/29/2022,1.4,Cash
4093,Bowtie,124,12/21/2022,2,Credit Card
4044,Gloves,33,03/29/2023,3.4,Cash
3977,Loafers,113,01/08/2023,,Credit Card
4074,Kimono,88,02/05/2023,2.9,Cash
4031,Vest,104,01/15/2023,,Credit Card
4122,Poncho,145,12/29/2022,2,Cash
4008,Flip-Flops,200,10/05/2022,4.9,Cash
4002,Hoodie,100,12/26/2022,4.5,Cash
4098,Raincoat,79,02/04/2023,5,Credit Card
3967,Belt,69,04/03/2023,3,Cash
4055,Onesie,,11/05/2022,4.5,Cash
4005,Wallet,,10/22/2022,4.2,Credit Card
4033,Tank Top,,12/19/2022,,Credit Card
4056,Skirt,186,04/11/2023,,Cash
3984,Camisole,,08/31/2023,1.6,Cash
4118,Pajamas,133,03/20/2023,4.5,Credit Card
4048,Cardigan,160,03/27/2023,2.7,Cash
4081,Loafers,144,11/01/2022,1.2,Credit Card
3978,Socks,35,11/29/2022,1.2,Cash
4118,Romper,85,08/14/2023,,Credit Card
4069,Pants,55,01/25/2023,4.9,Cash
4005,Flannel Shirt,191,03/23/2023,3.5,Cash
3992,Sunglasses,80,02/24/2023,,Cash
3966,Romper,,03/19/2023,4.4,Credit Card
4006,Trench Coat,,09/16/2023,3.8,Credit Card
3963,Dress,42,10/19/2022,3.3,Cash
4108,Blouse,135,01/25/2023,3.1,Cash
4018,Kimono,,04/27/2023,2.6,Credit Card
4082,Hoodie,,07/26/2023,3.7,Cash
4056,Blazer,132,06/17/2023,,Cash
3973,Umbrella,57,07/12/2023,3,Cash
4095,Sun Hat,74,07/15/2023,1.3,Credit Card
4121,Overalls,132,02/24/2023,2.1,Cash
4035,Coat,,09/22/2023,3,Cash
4084,Bowtie,,01/16/2023,4,Cash
4093,Shorts,157,08/17/2023,1,Cash
4072,Onesie,23,01/09/2023,2.4,Cash
3961,Wallet,,02/04/2023,3.3,Credit Card
3966,Polo Shirt,87,01/08/2023,3.3,Cash
4043,Boots,,12/24/2022,1.5,Cash
3971,Boots,152,03/01/2023,,Credit Card
4043,Scarf,165,02/05/2023,1.7,Credit Card
3967,Coat,168,04/21/2023,4.9,Credit Card
4060,Tunic,143,12/24/2022,4.2,Credit Card
3987,Wallet,123,08/01/2023,2.5,Credit Card
4011,Tank Top,160,05/08/2023,,Cash
4090,Hoodie,88,12/08/2022,2,Cash
4074,Skirt,25,10/05/2022,3.6,Credit Card
4094,Belt,199,07/04/2023,1.8,Credit Card
3995,Romper,,10/15/2022,1.5,Cash
4105,Jeans,170,03/28/2023,,Cash
4016,Coat,179,07/17/2023,1.7,Credit Card
3975,Leggings,,07/04/2023,2.3,Credit Card
3966,Pajamas,151,08/28/2023,1.8,Credit Card
3993,Jumpsuit,,01/28/2023,1.7,Credit Card
4082,Sneakers,,12/03/2022,3.8,Credit Card
3961,Gloves,162,12/05/2022,3,Credit Card
4077,Camisole,18,02/16/2023,2.4,Cash
4115,Sandals,190,02/17/2023,2.8,Cash
3968,Wallet,126,11/17/2022,4.3,Credit Card
4019,Onesie,,12/23/2022,,Credit Card
3990,Wallet,77,07/25/2023,2.5,Credit Card
3960,Shorts,170,10/31/2022,1.8,Cash
4001,Wallet,60,05/17/2023,2.4,Cash
4118,Blouse,149,03/21/2023,4.2,Cash
3969,Polo Shirt,48,08/04/2023,3.8,Cash
4035,Handbag,46,04/21/2023,4.3,Credit Card
3981,Camisole,,03/11/2023,1.4,Credit Card
4073,Kimono,,08/11/2023,2,Credit Card
4113,Hoodie,155,08/05/2023,1.1,Credit Card
4000,Tank Top,122,08/12/2023,3.6,Cash
4108,Trousers,,12/09/2022,1.6,Cash
3973,Gloves,189,10/30/2022,2.5,Credit Card
3984,Sunglasses,79,12/01/2022,3.4,Cash
3986,Jumpsuit,136,12/14/2022,,Cash
4084,Loafers,163,02/03/2023,3.5,Credit Card
4109,Jacket,,06/13/2023,1,Credit Card
4114,Backpack,92,04/25/2023,2.3,Credit Card
4013,Trousers,16,01/11/2023,1.4,Credit Card
3973,Pajamas,,11/09/2022,2.2,Credit Card
4008,Romper,157,06/05/2023,1.7,Credit Card
4066,Poncho,15,05/25/2023,,Cash
4043,Poncho,182,03/09/2023,2.8,Cash
4059,Camisole,157,07/30/2023,2.7,Cash
4040,Pajamas,,04/10/2023,4.3,Credit Card
3987,Backpack,130,02/21/2023,2.5,Credit Card
4104,Backpack,123,12/22/2022,3.7,Credit Card
4096,Sun Hat,56,11/04/2022,4.9,Cash
3992,Belt,121,10/09/2022,4.1,Credit Card
4039,Gloves,135,04/16/2023,3,Credit Card
4011,Gloves,130,01/03/2023,4.1,Cash
3968,Sandals,95,08/02/2023,2.6,Credit Card
4108,Shorts,36,02/16/2023,,Cash
4001,Cardigan,94,08/26/2023,4.7,Credit Card
4042,Hoodie,136,11/18/2022,4.9,Credit Card
3973,Shorts,112,07/18/2023,1.8,Cash
3987,Hoodie,150,01/14/2023,4,Cash
4027,Trousers,,05/19/2023,2.3,Cash
3993,Poncho,,03/26/2023,4.9,Cash
4063,Slippers,39,08/16/2023,4.1,Credit Card
4000,Socks,113,11/21/2022,2.8,Cash
4051,Poncho,10,07/29/2023,1,Cash
4098,Shorts,148,12/08/2022,4.5,Credit Card
3999,Sunglasses,23,01/02/2023,1.3,Cash
4069,Swimsuit,,04/22/2023,1.8,Credit Card
4019,Blouse,137,05/18/2023,,Cash
4105,Leggings,23,11/09/2022,3.7,Credit Card
3967,Pajamas,150,09/26/2023,2.5,Credit Card
3991,Sunglasses,,01/27/2023,2.4,Cash
3982,Poncho,188,11/22/2022,3.7,Credit Card
4118,T-shirt,17,06/05/2023,4.7,Cash
4113,Blazer,165,04/10/2023,4.3,Cash
4053,Sweater,191,01/28/2023,4.1,Credit Card
3997,Slippers,,04/25/2023,,Credit Card
3961,Polo Shirt,151,12/06/2022,4.1,Credit Card
4081,Socks,67,05/06/2023,4.1,Credit Card
3977,Pajamas,39,02/19/2023,4.3,Credit Card
3958,Belt,40,06/01/2023,2.7,Cash
3958,Leggings,49,03/14/2023,1.3,Cash
4002,Jumpsuit,193,12/18/2022,4,Credit Card
3979,Swimsuit,190,09/08/2023,1.9,Cash
4108,Umbrella,133,06/19/2023,4.1,Credit Card
4029,Blouse,72,08/20/2023,2.4,Credit Card
4063,Flannel Shirt,47,04/24/2023,3.4,Credit Card
4078,Wallet,163,02/07/2023,4.7,Credit Card
3989,Loafers,44,04/16/2023,1.6,Cash
4009,Slippers,80,11/23/2022,1.8,Cash
3993,Gloves,116,12/13/2022,2.4,Credit Card
